Rank,Team,Predicted_Performance,Expected_Win_Rate,Min_Win_Prob,Max_Win_Prob,Win_Prob_Std
1,FlyQuest,0.7846050182449538,0.6563178878309619,0.5603388226637768,0.7674062638392473,0.04859755612667912
2,Gen.G eSports,0.7408074849252496,0.5966049918448657,0.4396611773362233,0.7213535829426286,0.060635996460457066
3,CTBC Flying Oyster,0.7010161738724398,0.5458520000680993,0.3916062344807798,0.6798663235165312,0.06564671199061012
4,Top Esports,0.6972566626596235,0.5412156624151809,0.3873562597300943,0.6759637974234146,0.06591389802033581
5,Bilibili Gaming,0.6821171617910393,0.5228086531723712,0.37070619849732156,0.6602782911999727,0.06668218998721587
6,Vivo Keyd Stars,0.6817133226506247,0.5223233385009907,0.3702719744796123,0.659860542598017,0.06669621231021951
7,G2 Esports,0.6752845992844746,0.5146366306280639,0.36342672448120106,0.6532149674361043,0.06687610132869225
8,100 Thieves,0.6747715027358258,0.5140262751769108,0.36288577361778834,0.6526849338303667,0.06688699234937129
9,T1,0.6645660974181795,0.5019815875145923,0.3522879052930746,0.6421540139714628,0.06700026654400695
10,Hanwha Life eSports,0.6627921695589496,0.49990624762143415,0.3504765958177798,0.6403257086668454,0.06700027923570595
11,Team Secret Whales,0.6611429215988842,0.4979815775199289,0.3488006305357713,0.6386264899721826,0.06699517116585628
12,Anyone s Legend,0.6506530540613797,0.48584704680248686,0.3383186375686311,0.6278319608123708,0.0668493809528606
13,PSG Talon,0.6295472961641422,0.46197805370731054,0.3181185376542932,0.6061819694785114,0.06598495283186426
14,Movistar KOI,0.6217585659831414,0.4533479656757098,0.3109486932191996,0.5982155095234543,0.06547991627261006
15,Invictus Gaming,0.5894720393631863,0.41855024041341404,0.2827373503424497,0.5653243005325483,0.06234425527867378
16,Fnatic,0.5846457020075666,0.4134789928482676,0.2787173654896376,0.5604257721057646,0.06173094583076029
17,KT Rolster,0.5247257981613213,0.3531428482594111,0.23259373616075288,0.43957422789423534,0.05066751851184113
